,id,creator_regularized,city,country,lat,lng,languages,lang_count,classification,photo_url
174,73374,alb970,Abu Dhabi,United Arab Emirates,24.450475,54.36443333,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73374.jpeg
175,73375,alb970,Abu Dhabi,United Arab Emirates,24.451345,54.36549667,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73375.jpeg
176,73376,alb970,Abu Dhabi,United Arab Emirates,24.45248667,54.364945,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73376.jpeg
177,73379,alb970,Abu Dhabi,United Arab Emirates,24.45496167,54.36706667,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73379.jpeg
178,73380,alb970,Abu Dhabi,United Arab Emirates,24.45745833,54.36566167,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73380.jpeg
179,73381,alb970,Abu Dhabi,United Arab Emirates,24.459645,54.36357167,"['ARA', 'ENG']",2,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73381.jpeg
180,73385,alb970,Abu Dhabi,United Arab Emirates,24.459845,54.3637,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73385.jpeg
181,73387,alb970,Abu Dhabi,United Arab Emirates,24.46053,54.36241167,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73387.jpeg
182,73388,alb970,Abu Dhabi,United Arab Emirates,24.46148,54.36169167,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73388.jpeg
183,73389,alb970,Abu Dhabi,United Arab Emirates,24.462595,54.36248,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73389.jpeg
184,73390,alb970,Abu Dhabi,United Arab Emirates,24.46276167,54.36263333,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73390.jpeg
185,73394,alb970,Abu Dhabi,United Arab Emirates,24.46360833,54.36348667,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73394.jpeg
186,73395,alb970,Abu Dhabi,United Arab Emirates,24.46486158,54.36441075,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73395.jpeg
187,73396,alb970,Abu Dhabi,United Arab Emirates,24.46508069,54.36526906,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73396.jpeg
188,73398,alb970,Abu Dhabi,United Arab Emirates,24.465545,54.36571333,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73398.jpeg
189,73401,alb970,Abu Dhabi,United Arab Emirates,24.46666026,54.36697494,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73401.jpeg
190,73403,alb970,Abu Dhabi,United Arab Emirates,24.466725,54.36709167,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73403.jpeg
191,73547,alb970,Abu Dhabi,United Arab Emirates,24.46780333,54.36818333,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73547.jpeg
192,74003,alb970,Abu Dhabi,United Arab Emirates,24.46901333,54.369595,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74003.jpeg
193,74004,alb970,Abu Dhabi,United Arab Emirates,24.46985833,54.37058667,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74004.jpeg
194,74005,alb970,Abu Dhabi,United Arab Emirates,24.47081667,54.37125333,"['ARA', 'ENG']",2,health,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74005.jpeg
195,74006,alb970,Abu Dhabi,United Arab Emirates,24.470745,54.37182,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74006.jpeg
196,74007,alb970,Abu Dhabi,United Arab Emirates,24.47153333,54.37265333,"['ARA', 'ENG']",2,transport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74007.jpeg
197,74008,alb970,Abu Dhabi,United Arab Emirates,24.47238833,54.373825,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74008.jpeg
198,74009,alb970,Abu Dhabi,United Arab Emirates,24.47235833,54.373955,"['ARA', 'ENG']",2,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74009.jpeg
199,74010,alb970,Abu Dhabi,United Arab Emirates,24.47257,54.37462167,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74010.jpeg
200,74011,alb970,Abu Dhabi,United Arab Emirates,24.47362167,54.37560333,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74011.jpeg
201,74012,alb970,Abu Dhabi,United Arab Emirates,24.4736,54.37647,"['ARA', 'ENG']",2,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74012.jpeg
202,74013,alb970,Abu Dhabi,United Arab Emirates,24.47342833,54.37681167,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74013.jpeg
203,74014,alb970,Abu Dhabi,United Arab Emirates,24.47365333,54.377505,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74014.jpeg
204,74015,alb970,Abu Dhabi,United Arab Emirates,24.47401167,54.37777167,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74015.jpeg
205,74016,alb970,Abu Dhabi,United Arab Emirates,24.473995,54.37793667,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74016.jpeg
206,74017,alb970,Abu Dhabi,United Arab Emirates,24.47462833,54.3786,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74017.jpeg
207,74018,alb970,Abu Dhabi,United Arab Emirates,24.474795,54.37876333,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74018.jpeg
208,74019,alb970,Abu Dhabi,United Arab Emirates,24.47500333,54.37925333,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74019.jpeg
209,74020,alb970,Abu Dhabi,United Arab Emirates,24.47597833,54.38,"['ARA', 'ENG']",2,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74020.jpeg
210,74021,alb970,Abu Dhabi,United Arab Emirates,24.475225,54.37911667,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74021.jpeg
211,74022,alb970,Abu Dhabi,United Arab Emirates,24.47521333,54.37904667,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74022.jpeg
212,74023,alb970,Abu Dhabi,United Arab Emirates,24.4752,54.37878333,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74023.jpeg
213,74024,alb970,Abu Dhabi,United Arab Emirates,24.47498333,54.378595,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74024.jpeg
214,74025,alb970,Abu Dhabi,United Arab Emirates,24.47481167,54.37828,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74025.jpeg
215,74026,alb970,Abu Dhabi,United Arab Emirates,24.47450833,54.377605,"['ARA', 'ENG']",2,apartments,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74026.jpeg
216,74027,alb970,Abu Dhabi,United Arab Emirates,24.47437167,54.377575,"['ARA', 'ENG']",2,apartments,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74027.jpeg
217,74028,alb970,Abu Dhabi,United Arab Emirates,24.47365333,54.37644167,"['ARA', 'ENG']",2,public,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74028.jpeg
218,74029,alb970,Abu Dhabi,United Arab Emirates,24.47258,54.373905,"['ARA', 'ENG', 'FIL']",3,transport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74029.jpeg
219,74030,alb970,Abu Dhabi,United Arab Emirates,24.47206167,54.37315333,"['ARA', 'ENG']",2,road,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74030.jpeg
220,74031,alb970,Abu Dhabi,United Arab Emirates,24.47128,54.37317,"['ARA', 'ENG']",2,shop,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/74031.jpeg
221,71198,,Abu Dhabi,United Arab Emirates,24.5245383,54.4335531,"['ARA', 'ENG']",2,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71198.jpeg
222,71201,,Abu Dhabi,United Arab Emirates,24.5247696,54.4333127,['ENG'],1,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71201.jpeg
223,71207,?,أبو ظبي,United Arab Emirates,24.5248696,54.4331472,"['ARA', 'ENG']",2,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71207.jpeg
224,71209,?,Abu Dhabi,United Arab Emirates,24.5248336,54.4331666,"['ARA', 'ENG']",2,school,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/71209.jpeg
225,73049,jl10525,Abu Dhabi,United Arab Emirates,24.49802128,54.37460393,"['ARA', 'ENG']",2,transport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73049.jpeg
226,73050,jl10525,Abu Dhabi,United Arab Emirates,24.49791307,54.3745834,['ARA'],1,transport,https://raw.githubusercontent.com/nhungoc1508/F22-CDAD1033-DataAndHumanSpace/main/images/73050.jpeg
